"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/projects",360,0,230,313,35,1501,245,3.83
"DELETE","/projects/6202",1,0,224,224,224,224,2,0.01
"DELETE","/projects/6203",1,0,177,177,177,177,2,0.01
"DELETE","/projects/6204",1,0,301,301,301,301,2,0.01
"DELETE","/projects/6205",1,0,334,334,334,334,2,0.01
"DELETE","/projects/6206",1,0,326,326,326,326,2,0.01
"DELETE","/projects/6207",1,0,255,255,255,255,2,0.01
"DELETE","/projects/6208",1,0,258,258,258,258,2,0.01
"DELETE","/projects/6209",1,0,340,340,340,340,2,0.01
"DELETE","/projects/6210",1,0,250,250,250,250,2,0.01
"DELETE","/projects/6211",1,0,251,251,251,251,2,0.01
"DELETE","/projects/6212",1,0,179,179,179,179,2,0.01
"DELETE","/projects/6213",1,0,282,282,282,282,2,0.01
"DELETE","/projects/6214",1,0,184,184,184,184,2,0.01
"DELETE","/projects/6215",1,0,418,418,418,418,2,0.01
"DELETE","/projects/6216",1,0,295,295,295,295,2,0.01
"DELETE","/projects/6217",1,0,392,392,392,392,2,0.01
"DELETE","/projects/6218",1,0,266,266,266,266,2,0.01
"DELETE","/projects/6219",1,0,247,247,247,247,2,0.01
"DELETE","/projects/6220",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6221",1,0,130,130,130,130,2,0.01
"DELETE","/projects/6222",1,0,45,45,45,45,2,0.01
"DELETE","/projects/6223",1,0,264,264,264,264,2,0.01
"DELETE","/projects/6224",1,0,100,100,100,100,2,0.01
"DELETE","/projects/6225",1,0,215,215,215,215,2,0.01
"DELETE","/projects/6226",1,0,292,292,292,292,2,0.01
"DELETE","/projects/6227",1,0,123,123,123,123,2,0.01
"DELETE","/projects/6228",1,0,129,129,129,129,2,0.01
"DELETE","/projects/6229",1,0,144,144,144,144,2,0.01
"DELETE","/projects/6230",1,0,487,487,487,487,2,0.01
"DELETE","/projects/6231",1,0,175,175,175,175,2,0.01
"DELETE","/projects/6232",1,0,326,326,326,326,2,0.01
"DELETE","/projects/6233",1,0,531,531,531,531,2,0.01
"DELETE","/projects/6234",1,0,214,214,214,214,2,0.01
"DELETE","/projects/6235",1,0,118,118,118,118,2,0.01
"DELETE","/projects/6236",1,0,373,373,373,373,2,0.01
"DELETE","/projects/6237",1,0,157,157,157,157,2,0.01
"DELETE","/projects/6238",1,0,147,147,147,147,2,0.01
"DELETE","/projects/6239",1,0,214,214,214,214,2,0.01
"DELETE","/projects/6240",1,0,496,496,496,496,2,0.01
"DELETE","/projects/6241",1,0,72,72,72,72,2,0.01
"DELETE","/projects/6242",1,0,641,641,641,641,2,0.01
"DELETE","/projects/6243",1,0,605,605,605,605,2,0.01
"DELETE","/projects/6244",1,0,157,157,157,157,2,0.01
"DELETE","/projects/6245",1,0,299,299,299,299,2,0.01
"DELETE","/projects/6246",1,0,114,114,114,114,2,0.01
"DELETE","/projects/6247",1,0,164,164,164,164,2,0.01
"DELETE","/projects/6248",1,0,203,203,203,203,2,0.01
"DELETE","/projects/6249",1,0,162,162,162,162,2,0.01
"DELETE","/projects/6250",1,0,135,135,135,135,2,0.01
"DELETE","/projects/6251",1,0,99,99,99,99,2,0.01
"DELETE","/projects/6252",1,0,174,174,174,174,2,0.01
"DELETE","/projects/6253",1,0,98,98,98,98,2,0.01
"DELETE","/projects/6254",1,0,97,97,97,97,2,0.01
"DELETE","/projects/6255",1,0,110,110,110,110,2,0.01
"DELETE","/projects/6256",1,0,119,119,119,119,2,0.01
"DELETE","/projects/6257",1,0,68,68,68,68,2,0.01
"DELETE","/projects/6258",1,0,316,316,316,316,2,0.01
"DELETE","/projects/6259",1,0,149,149,149,149,2,0.01
"DELETE","/projects/6260",1,0,451,451,451,451,2,0.01
"DELETE","/projects/6261",1,0,1348,1348,1348,1348,2,0.01
"DELETE","/projects/6262",1,0,1299,1299,1299,1299,2,0.01
"DELETE","/projects/6263",1,0,958,958,958,958,2,0.01
"DELETE","/projects/6264",1,0,958,958,958,958,2,0.01
"DELETE","/projects/6265",1,0,936,936,936,936,2,0.01
"DELETE","/projects/6266",1,0,878,878,878,878,2,0.01
"DELETE","/projects/6267",1,0,767,767,767,767,2,0.01
"DELETE","/projects/6268",1,0,869,869,869,869,2,0.01
"DELETE","/projects/6269",1,0,1077,1077,1077,1077,2,0.01
"DELETE","/projects/6270",1,0,572,572,572,572,2,0.01
"DELETE","/projects/6271",1,0,515,515,515,515,2,0.01
"DELETE","/projects/6272",1,0,428,428,428,428,2,0.01
"DELETE","/projects/6273",1,0,426,426,426,426,2,0.01
"DELETE","/projects/6274",1,0,300,300,300,300,2,0.01
"DELETE","/projects/6275",1,0,445,445,445,445,2,0.01
